"","Rank","Song","Artist","Year"
"1","1","Theme from A Summer Place","Percy Faithand","1960"
"2","2","He'll Have to Go","Jim Reevesand","1960"
"3","3","Cathy's Clown","The Everly Brothersand","1960"
"4","4","Running Bear","Johnny Prestonand","1960"
"5","5","Teen Angel","Mark Dinningand","1960"
"6","6","I'm Sorry","Brenda Leeand","1960"
"7","7","It's Now or Never","Elvis Presleyand","1960"
"8","8","Handy Man","Jimmy Jonesand","1960"
"9","9","Stuck on You","Elvis Presleyand","1960"
"10","10","The Twist","Chubby Checkerand","1960"
"11","11","Everybody's Somebody's Fool","Connie Francisand","1960"
"12","12","Wild One","Bobby Rydelland","1960"
"13","13","Greenfields","The Brothers Fourand","1960"
"14","14","What in the World's Come Over You","Jack Scottand","1960"
"15","15","El Paso","Marty Robbinsand","1960"
"16","16","Alley Oop","The Hollywood Argylesand","1960"
"17","17","My Heart Has a Mind of Its Own","Connie Francisand","1960"
"18","18","Sweet Nothin's","Brenda Leeand","1960"
"19","19","Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini","Brian Hylandand","1960"
"20","20","Only the Lonely","Roy Orbisonand","1960"
"21","21","Where or When","Dion and the Belmontsand","1960"
"22","22","Sixteen Reasons","Connie Stevensand","1960"
"23","23","Puppy Love","Paul Ankaand","1960"
"24","24","Why","Frankie Avalonand","1960"
"25","25","Walk, Don't Run","The Venturesand","1960"
"26","26","Save the Last Dance for Me","The Driftersand","1960"
"27","27","Baby (You've Got What It Takes)","Dinah Washington and Brook Bentonand","1960"
"28","28","Sink the Bismarck","Johnny Hortonand","1960"
"29","29","Chain Gang","Sam Cookeand","1960"
"30","30","Let It Be Me","The Everly Brothersand","1960"
"31","31","Good Timin'","Jimmy Jonesand","1960"
"32","32","Beyond the Sea","Bobby Darinand","1960"
"33","33","Go, Jimmy, Go","Jimmy Clantonand","1960"
"34","34","Night","Jackie Wilsonand","1960"
"35","35","Burning Bridges","Jack Scottand","1960"
"36","36","The Big Hurt","Toni Fisherand","1960"
"37","37","Because They're Young","Duane Eddyand","1960"
"38","38","Lonely Blue Boy","Conway Twittyand","1960"
"39","39","Pretty Blue Eyes","Steve Lawrenceand","1960"
"40","40","Way Down Yonder in New Orleans","Freddy Cannonand","1960"
"41","41","Paper Roses","Anita Bryantand","1960"
"42","42","Mr. Custer","Larry Verneand","1960"
"43","43","I Want to Be Wanted","Brenda Leeand","1960"
"44","44","Mule Skinner Blues","The Fendermenand","1960"
"45","45","Cradle of Love","Johnny Prestonand","1960"
"46","46","You Got What It Takes","Marv Johnsonand","1960"
"47","47","Please Help Me, I'm Falling","Hank Locklinand","1960"
"48","48","Love You So","Ron Holdenand","1960"
"49","49","Finger Poppin' Time","Hank Ballard and The Midnightersand","1960"
"50","50","Harbor Lights","The Plattersand","1960"
"51","51","Let the Little Girl Dance","Billy Blandand","1960"
"52","52","He'll Have to Stay","Jeanne Blackand","1960"
"53","53","Theme from The Apartment","Ferrante and Teicherand","1960"
